----------------------------
2020-11-20 11:41:30.963184
Resolution: 800 x 450
FPS: 60
Codec: huj
----------------------------
[11-52-27-635686]  84: empty = if nr 5 passed
[11-52-27-635686]  85: Empty
[11-52-33-854965]  86: swipe right - if nr 1 passed
[11-52-33-854965]  87: swipe right - if nr 2 passed
[11-52-33-854965]  88: swipe right - if nr 3 passed
[11-52-33-854965]  89: swipe right - if nr 4 passed
[11-52-33-854965]  90: swipe right - if nr 5 passed
[11-52-33-854965]  91: swipe right - if nr 6 passed
[11-52-33-854965]  92: Swipe right
[11-52-33-854965]  93: fist - if nr 1 passed
[11-52-33-854965]  94: fist - if nr 2 passed
[11-52-33-854965]  95: empty - if nr 1 passed
[11-52-33-854965]  96: empty - if nr 2 passed
[11-52-33-854965]  97: empty - if nr 3 passed
[11-52-33-854965]  98: empty - if nr 4 passed
[11-52-34-503709]  99: empty - if nr 1 passed
[11-52-34-503709]  100: empty - if nr 2 passed
[11-52-34-503709]  101: empty - if nr 3 passed
[11-52-34-503709]  102: empty - if nr 4 passed
[11-52-35-143282]  103: empty - if nr 1 passed
[11-52-35-143282]  104: empty - if nr 2 passed
[11-52-35-143282]  105: empty - if nr 3 passed
[11-52-35-143282]  106: empty - if nr 4 passed
[11-52-35-776492]  107: empty - if nr 1 passed
[11-52-35-776492]  108: empty - if nr 2 passed
[11-52-35-776492]  109: empty - if nr 3 passed
[11-52-35-776492]  110: empty - if nr 4 passed
[11-52-35-776492]  111: empty = if nr 5 passed
[11-52-35-776492]  112: Empty
[11-52-46-256708]  113: swipe left - if nr 1 passed
[11-52-46-256708]  114: secret_gesture - if nr 1 passed
[11-52-46-256708]  115: peace - if nr 1 passed
[11-52-46-256708]  116: peace - if nr 2 passed
[11-52-46-256708]  117: peace - if nr 3 passed
[11-52-46-256708]  118: peace - if nr 4 passed
[11-52-46-256708]  119: peace - if nr 5 passed
[11-52-46-256708]  120: peace - if nr 6 passed
[11-52-46-256708]  121: Peace
[11-52-48-764819]  122: empty - if nr 1 passed
[11-52-48-764819]  123: empty - if nr 2 passed
[11-52-48-764819]  124: empty - if nr 3 passed
[11-52-48-764819]  125: empty - if nr 4 passed
[11-52-48-764819]  126: empty = if nr 5 passed
[11-52-48-764819]  127: Empty
[11-53-2-574002]  128: fist - if nr 1 passed
[11-53-2-574002]  129: fist - if nr 2 passed
[11-53-4-326014]  130: okay - if nr 1 passed
[11-53-4-332526]  131: okay - if nr 2 passed
[11-53-4-332526]  132: okay - if nr 3 passed
[11-53-4-332526]  133: okay - if nr 4 passed
[11-53-4-332526]  134: okay - if nr 5 passed
[11-53-4-332526]  135: okay - if nr 6 passed
[11-53-4-332526]  136: Okay
[11-53-4-332526]  137: fist - if nr 1 passed
[11-53-4-332526]  138: fist - if nr 2 passed
[11-53-9-225832]  139: empty - if nr 1 passed
[11-53-9-225832]  140: empty - if nr 2 passed
[11-53-9-225832]  141: empty - if nr 3 passed
[11-53-9-225832]  142: empty - if nr 4 passed
[11-53-9-225832]  143: empty = if nr 5 passed
[11-53-9-225832]  144: Empty
[11-53-21-788246]  145: fist - if nr 1 passed
[11-53-21-803913]  146: fist - if nr 2 passed
[11-53-23-38809]  147: fist - if nr 1 passed
[11-53-23-38809]  148: fist - if nr 2 passed
[11-53-24-296083]  149: okay - if nr 1 passed
[11-53-24-296083]  150: fist - if nr 1 passed
